s,m,m,m,C,C,C
Time,"Visibility_MEAN","Visibility_MIN","Visibility_MAX","Temperature_MEAN","Temperature_MIN","Temperature_MAX"
 1.1207858E+002, 2.0532562E+001, 4.5080638E+000, 3.0000000E+001, 2.0569647E+001, 2.0021846E+001, 2.1621464E+001
 1.1281736E+002, 2.0580146E+001, 4.4999666E+000, 3.0000000E+001, 2.0460914E+001, 2.0010674E+001, 2.1302222E+001
 1.1364313E+002, 2.0624459E+001, 4.4926848E+000, 3.0000000E+001, 2.0370425E+001, 2.0006621E+001, 2.1054448E+001
 1.1454586E+002, 2.0676654E+001, 4.4884181E+000, 3.0000000E+001, 2.0270318E+001, 2.0003676E+001, 2.0839330E+001
 1.1520266E+002, 2.0725534E+001, 4.4882208E+000, 3.0000000E+001, 2.0188278E+001, 2.0001810E+001, 2.0804993E+001
 1.1603295E+002, 2.0772190E+001, 4.4905945E+000, 3.0000000E+001, 2.0136229E+001, 2.0000746E+001, 2.0770237E+001
 1.1696909E+002, 2.0823090E+001, 4.4968731E+000, 3.0000000E+001, 2.0104146E+001, 2.0001505E+001, 2.0753698E+001
 1.1772258E+002, 2.0870991E+001, 4.5072614E+000, 3.0000000E+001, 2.0085449E+001, 2.0001262E+001, 2.0686198E+001
 1.1847606E+002, 2.0918772E+001, 4.5217132E+000, 3.0000000E+001, 2.0062444E+001, 1.9999112E+001, 2.0573605E+001
 1.1922954E+002, 2.0962592E+001, 4.5429791E+000, 3.0000000E+001, 2.0037558E+001, 1.9999062E+001, 2.0387116E+001
 1.2008941E+002, 2.1006853E+001, 4.5752717E+000, 3.0000000E+001, 2.0018116E+001, 2.0000170E+001, 2.0183273E+001
 1.2094928E+002, 2.1060687E+001, 4.6236488E+000, 3.0000000E+001, 2.0010136E+001, 2.0001567E+001, 2.0080319E+001
 1.2180915E+002, 2.1117526E+001, 4.6907105E+000, 3.0000000E+001, 2.0007614E+001, 2.0000805E+001, 2.0053689E+001
 1.2245405E+002, 2.1166390E+001, 4.7504003E+000, 3.0000000E+001, 2.0004414E+001, 1.9999842E+001, 2.0028371E+001
 1.2331392E+002, 2.1219166E+001, 4.7935081E+000, 3.0000000E+001, 2.0003588E+001, 2.0000022E+001, 2.0019499E+001
 1.2417379E+002, 2.1278149E+001, 4.8789302E+000, 3.0000000E+001, 2.0005712E+001, 2.0000031E+001, 2.0049185E+001
 1.2481870E+002, 2.1330067E+001, 4.9865365E+000, 3.0000000E+001, 2.0006756E+001, 1.9999476E+001, 2.0076137E+001
 1.2567857E+002, 2.1386918E+001, 5.0311123E+000, 3.0000000E+001, 2.0004602E+001, 1.9999066E+001, 2.0053297E+001
 1.2649491E+002, 2.1451740E+001, 5.0471146E+000, 3.0000000E+001, 2.0002923E+001, 1.9999055E+001, 2.0021191E+001
 1.2726774E+002, 2.1512712E+001, 5.0623784E+000, 3.0000000E+001, 2.0003125E+001, 1.9999039E+001, 2.0017663E+001
 1.2804057E+002, 2.1574758E+001, 5.0852423E+000, 3.0000000E+001, 2.0002631E+001, 1.9998887E+001, 2.0017043E+001
 1.2881339E+002, 2.1635547E+001, 5.0947490E+000, 3.0000000E+001, 2.0001671E+001, 1.9998724E+001, 2.0013640E+001
